SHEET Sheet1 (46 x 20)
A1=mission_id | B1=uav_id | C1=uav_type | D1=battery_id | E1=area_id | F1=cargo_ids | G1=start_min | H1=delivery_min | I1=end_min | J1=deadline_min | K1=on_time | L1=energy_kwh | M1=soc_after | N1=charge_min | O1=cargo_count | P1=original_start_min | Q1=original_delivery_min | R1=original_end_min | S1=communication_mode | T1=communication_available
A28=27 | B28=UC02 | C28=C | D28=C-BAT-03 | E28=S005 | F28=S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-MED-01 | G28=83.30807275110952 | H28=103.944024092142 | I28=112.2921420998412 | J28=180 | K28=True | L28=3.517681856451785 | M28=0.5602897679435269 | N28=29.76731393537263 | O28=4 | P28=73.40239789956115 | Q28=94.03834924059366 | R28=102.3864672482928 | S28=R01 | T28=True
A29=28 | B29=UA03 | C29=A | D29=A-BAT-03 | E29=S009 | F29=S009-WAT-01,S009-MED-01 | G29=99.58053929638515 | H29=118.3453744515041 | I29=127.7238762732897 | J29=180 | K29=True | L29=1.8710546231918 | M29=0.5842100837351556 | N29=17.34211485240496 | O29=2 | P29=90.79957716162518 | Q29=109.5644123167441 | R29=118.9429141385297 | S29=R02 | T29=True
A30=29 | B30=UA02 | C30=A | D30=A-BAT-05 | E30=S011 | F30=S011-WAT-01,S011-MED-01 | G30=108.5423025821379 | H30=123.3749793107571 | I30=128.801433817154 | J30=180 | K30=True | L30=0.974739867166567 | M30=0.7833911406296518 | N30=13.02652528635754 | O30=2 | P30=102.9244183821658 | Q30=117.757095110785 | R30=123.1835496171819 | S30=direct | T30=True
A31=30 | B31=UB02 | C31=B | D31=B-BAT-04 | E31=S001 | F31=S001-HYG-01,S001-HYG-02 | G31=96.97227435582539 | H31=111.3451679121932 | I31=116.2806170241165 | J31=180 | K31=True | L31=0.8736555559417358 | M31=0.7815861110145661 | N31=17.42084568180142 | O31=2 | P31=88.36859904779647 | Q31=102.7414926041643 | R31=107.6769417160876 | S31=direct | T31=True
A32=31 | B32=UB02 | C32=B | D32=B-BAT-01 | E32=S003 | F32=S003-FOD-01,S003-FOD-02 | G32=118.0358497359536 | H32=139.4433870243834 | I32=151.5851465350355 | J32=180 | K32=True | L32=2.171939602406073 | M32=0.4570150993984818 | N32=26.79734157293274 | O32=2 | P32=109.4103180975419 | Q32=130.8178553859717 | R32=142.9596148966238 | S32=R01 | T32=True
A33=32 | B33=UA01 | C33=A | D33=A-BAT-02 | E33=S002 | F33=S002-HYG-01 | G33=112.552971233474 | H33=132.9712927445526 | I33=144.9916142556312 | J33=180 | K33=True | L33=2.306810552860246 | M33=0.4873754326977231 | N33=19.440198958216 | O33=1 | P33=102.9931829663858 | Q33=123.4115044774644 | R33=135.4318259885431 | S33=R02 | T33=True
A34=33 | B34=UC01 | C34=C | D34=C-BAT-02 | E34=S004 | F34=S004-FOD-01 | G34=86.05407488822445 | H34=107.0726497510757 | I34=119.1588912805937 | J34=180 | K34=True | L34=4.403269646749423 | M34=0.4495912941563222 | N34=33.7647588221328 | O34=1 | P34=86.05407488822445 | Q34=107.0726497510757 | R34=119.1588912805937 | S34=R02 | T34=True
A35=34 | B35=UA04 | C35=A | D35=A-BAT-06 | E35=S006 | F35=S006-HYG-01 | G35=124.4411423732947 | H35=139.0024244728503 | I35=145.2715954612948 | J35=180 | K35=True | L35=1.057798217128584 | M35=0.7649337295269814 | N35=13.42643586024874 | O35=1 | P35=118.8725284606768 | Q35=133.4338105602324 | R35=139.7029815486769 | S35=direct | T35=True
A36=35 | B36=UC02 | C36=C | D36=C-BAT-04 | E36=S007 | F36=S007-HYG-01 | G36=121.7547777991096 | H36=139.7035136206564 | I36=148.9202494422031 | J36=180 | K36=True | L36=2.845453629675534 | M36=0.6443182962905583 | N36=26.73295041172984 | O36=1 | P36=111.8491029475612 | Q36=129.797838769108 | R36=139.0145745906547 | S36=R01 | T36=True
A37=36 | B37=UB01 | C37=B | D37=B-BAT-02 | E37=S008 | F37=S008-FOD-01 | G37=122.3232802406482 | H37=141.8333083642319 | I37=153.0024475989267 | J37=180 | K37=True | L37=2.113150583946663 | M37=0.4717123540133343 | N37=26.37275421739256 | O37=1 | P37=113.7196049326193 | Q37=133.229633056203 | R37=144.3987722908978 | S37=R01 | T37=True
A38=37 | B38=UC01 | C38=C | D38=C-BAT-01 | E38=S015 | F38=S015-WAT-01 | G38=121.9728032321447 | H38=141.4875062070714 | I38=152.480209181998 | J38=180 | K38=True | L38=3.686771208193226 | M38=0.5391535989758467 | N38=30.53056448142775 | O38=1 | P38=121.9728032321447 | Q38=141.4875062070714 | R38=152.480209181998 | S38=R01 | T38=True
A39=38 | B39=UA03 | C39=A | D39=A-BAT-01 | E39=S003 | F39=S003-HYG-01 | G39=128.5010813119849 | H39=150.9255812506797 | I39=165.0843034115967 | J39=240 | K39=True | L39=2.412427120788479 | M39=0.4639050842692268 | N39=19.94872317416675 | O39=1 | P39=118.9429141385297 | Q39=141.3674140772245 | R39=155.5261362381415 | S39=R01 | T39=True
A40=39 | B40=UC02 | C40=C | D40=C-BAT-03 | E40=S004 | F40=S004-HYG-01 | G40=148.9202494422031 | H40=169.9388243050544 | I40=182.0250658345724 | J40=240 | K40=True | L40=4.375001305345046 | M40=0.4531248368318692 | N40=33.63715866996027 | O40=1 | P40=139.0145745906547 | Q40=160.033149453506 | R40=172.119390983024 | S40=R02 | T40=True
A41=40 | B41=UA02 | C41=A | D41=A-BAT-04 | E41=S005 | F41=S005-FOD-01 | G41=135.9024674104284 | H41=153.6852816920291 | I41=163.0428737514077 | J41=240 | K41=True | L41=1.711944804864733 | M41=0.6195678211411705 | N41=16.57603054194131 | O41=1 | P41=130.3533477946764 | Q41=148.1361620762771 | R41=157.4937541356557 | S41=R01 | T41=True
A42=41 | B42=UB02 | C42=B | D42=B-BAT-04 | E42=S008 | F42=S008-HYG-01 | G42=151.5851465350355 | H42=171.0951746586192 | I42=182.2643138933139 | J42=240 | K42=True | L42=2.080451140464154 | M42=0.4798872148839615 | N42=26.13659157001889 | O42=1 | P42=142.9596148966238 | Q42=162.4696430202075 | R42=173.6387822549022 | S42=R01 | T42=True
A43=42 | B43=UA01 | C43=A | D43=A-BAT-05 | E43=S009 | F43=S009-FOD-01 | G43=144.9916142556312 | H43=162.7564494107502 | I43=172.1349512325357 | J43=240 | K43=True | L43=1.797687027182534 | M43=0.6005139939594369 | N43=16.9888634642122 | O43=1 | P43=136.2100749035394 | Q43=153.9749100586583 | R43=163.3534118804439 | S43=R02 | T43=True
A44=43 | B44=UC01 | C44=C | D44=C-BAT-02 | E44=S011 | F44=S011-FOD-01 | G44=152.9236501027265 | H44=166.8837186611424 | I44=171.884453886225 | J44=240 | K44=True | L44=1.681614284379605 | M44=0.7897982144525494 | N44=21.47950892254682 | O44=1 | P44=152.9236501027265 | Q44=166.8837186611424 | R44=171.884453886225 | S44=direct | T44=True
A45=44 | B45=UB01 | C45=B | D45=B-BAT-03 | E45=S015 | F45=S015-FOD-01 | G45=153.0024475989267 | H45=171.2698157913762 | I45=181.4225173171591 | J45=240 | K45=True | L45=1.684852321935074 | M45=0.5787869195162316 | N45=23.2794889917533 | O45=1 | P45=144.3987722908978 | Q45=162.6661404833473 | R45=172.8188420091302 | S45=R01 | T45=True
A46=45 | B46=UA04 | C46=A | D46=A-BAT-03 | E46=S005 | F46=S005-HYG-01 | G46=145.2715954612948 | H46=163.0544097428956 | I46=172.4120018022741 | J46=300 | K46=True | L46=1.698235657333516 | M46=0.6226142983703299 | N46=16.51002353530952 | O46=1 | P46=139.7029815486769 | Q46=157.4857958302777 | R46=166.8433878896562 | S46=R01 | T46=True
