SHEET Sheet1 (44 x 22)
A1=area_id | B1=uav_type | C1=cargo_ids | D1=cargo_count | E1=energy_kwh | F1=duration_min | G1=delivery_offset_min | H1=mission_id | I1=uav_id | J1=battery_id | K1=start_min | L1=delivery_min | M1=end_min | N1=deadline_min | O1=on_time | P1=soc_after | Q1=charge_min | R1=original_start_min | S1=original_delivery_min | T1=original_end_min | U1=communication_mode | V1=communication_available
A15=S008 | B15=A | C15=S008-WAT-02 | D15=1 | E15=2.623902934018422 | F15=35.18442401586858 | G15=21.76265645237874 | H15=14 | I15=UA01 | J15=A-BAT-05 | K15=65.05754108308608 | L15=86.82019753546481 | M15=100.2419650989547 | N15=120 | O15=True | P15=0.4169104591070174 | Q15=20.96694005268129 | R15=65.28404836974312 | S15=87.04670482212185 | T15=100.4684723856117 | U15=R01 | V15=True
A16=S001 | B16=A | C16=S001-FOD-01,S001-FOD-02 | D16=2 | E16=1.048835444247772 | F16=21.01023549880829 | G16=15.22383997162637 | H16=15 | I16=UA04 | J16=A-BAT-01 | K16=45.05174279782136 | L16=60.27558276944772 | M16=66.06197829662965 | N16=120 | O16=True | P16=0.7669254568338284 | Q16=13.38328176860038 | R16=53.58721972439302 | S16=68.81105969601938 | T16=74.59745522320131 | U16=direct | V16=True
A17=S001 | B17=A | C17=S001-FOD-03 | D17=1 | E17=1.014245103020607 | F17=20.01023549880829 | G17=14.22383997162637 | H17=16 | I17=UA04 | J17=A-BAT-04 | K17=66.06197829662965 | L17=80.28581826825601 | M17=86.07221379543793 | N17=120 | O17=True | P17=0.7746121993287539 | Q17=13.21673568121033 | R17=74.85227137039857 | S17=89.07611134202493 | T17=94.86250686920685 | U17=direct | V17=True
A18=S002 | B18=A | C18=S002-FOD-01,S002-FOD-02 | D18=2 | E18=2.409990591769786 | F18=33.43864302215731 | G18=21.41832151107866 | H18=17 | I18=UA02 | J18=A-BAT-03 | K18=53.58721972439302 | L18=75.00554123547168 | M18=87.02586274655033 | N18=120 | O18=True | P18=0.4644465351622699 | Q18=19.93699173815082 | R18=65.05754108308608 | S18=86.47586259416474 | T18=98.49618410524339 | U18=R02 | V18=True
A19=S006 | B19=A | C19=S006-FOD-01 | D19=1 | E19=1.066023243410243 | F19=20.83045308800013 | G19=14.56128209955562 | H19=18 | I19=UA03 | J19=A-BAT-06 | K19=74.85227137039857 | L19=89.41355346995418 | M19=95.6827244583987 | N19=120 | O19=True | P19=0.7631059459088348 | Q19=13.46603783864191 | R19=81.23616681368993 | S19=95.79744891324555 | T19=102.0666199016901 | U19=direct | V19=True
A20=S007 | B20=A | C20=S007-FOD-01 | D20=1 | E20=1.571297495086422 | F20=27.60457394938271 | G20=17.92962030802469 | H20=19 | I20=UA04 | J20=A-BAT-01 | K20=86.07221379543793 | L20=104.0018341034627 | M20=113.6767877448207 | N20=120 | O20=True | P20=0.6508227788696839 | Q20=15.89883979115685 | R20=94.86250686920685 | S20=112.7921271772316 | T20=122.4670808185896 | U20=R01 | V20=True
A21=S010 | B21=A | C21=S010-FOD-01 | D21=1 | E21=1.581530554767664 | F21=26.43846977573074 | G21=17.34484599897648 | H21=20 | I21=UA02 | J21=A-BAT-02 | K21=94.67138958636552 | L21=112.016235585342 | M21=121.1098593620963 | N21=120 | O21=True | P21=0.6485487656071858 | Q21=15.94811007851097 | R21=102.3789877569078 | S21=119.7238337558842 | T21=128.8174575326385 | U21=R02 | V21=True
A22=S012 | B22=B | C22=S012-FOD-01 | D22=1 | E22=1.971677737898548 | F22=30.03582386731311 | G22=19.18341193365655 | H22=21 | I22=UB02 | J22=B-BAT-02 | K22=9.905674851548365 | L22=29.08908678520492 | M22=39.94149871886147 | N22=120 | O22=True | P22=0.5070805655253631 | Q22=25.35100588482284 | R22=9.905674851548365 | S22=29.08908678520492 | T22=39.94149871886147 | U22=R02 | V22=True
A23=S013 | B23=A | C23=S013-FOD-01 | D23=1 | E23=1.575202255282084 | F23=25.83036260806776 | G23=17.04073685958943 | H23=22 | I23=UA03 | J23=A-BAT-04 | K23=99.28894947664827 | L23=116.3296863362377 | M23=125.1193120847161 | N23=120 | O23=True | P23=0.6499550543817592 | Q23=15.91764048839522 | R23=108.0792425504172 | S23=125.1199794100066 | T23=133.909605158485 | U23=R02 | V23=True
A24=S014 | B24=C | C24=S014-FOD-01 | D24=1 | E24=3.492318945036377 | F24=31.74156487654288 | G24=20.23469910493811 | H24=23 | I24=UC01 | J24=C-BAT-01 | K24=83.30807275110953 | L24=103.5427718560476 | M24=115.0496376276524 | N24=120 | O24=True | P24=0.5634601318704529 | Q24=29.65282857134476 | R24=74.93684499092278 | S24=95.17154409586087 | T24=106.6784098674657 | U24=R02 | V24=True
A25=S015 | B25=B | C25=S015-MED-01 | D25=1 | E25=1.626892710624575 | F25=28.42006971823241 | G25=18.26736819244954 | H25=24 | I25=UB01 | J25=B-BAT-03 | K25=24.30834266829118 | L25=42.57571086074072 | M25=52.72841238652359 | N25=120 | O25=True | P25=0.5932768223438563 | Q25=22.86089179895526 | R25=24.30834266829118 | S25=42.57571086074072 | T25=52.72841238652359 | U25=R01 | V25=True
A26=S005 | B26=C | C26=S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-MED-01 | D26=4 | E26=3.517681856451785 | F26=28.98406934873169 | G26=20.63595134103251 | H26=25 | I26=UC02 | J26=C-BAT-03 | K26=99.16566067193969 | L26=119.8016120129722 | M26=128.1497300206714 | N26=180 | O26=True | P26=0.5602897679435269 | Q26=29.76731393537263 | R26=81.10382063209175 | S26=101.7397719731243 | T26=110.0878899808235 | U26=R01 | V26=True
A27=S009 | B27=B | C27=S009-WAT-01,S009-MED-01 | D27=2 | E27=1.610290600498932 | F27=24.96407448316963 | G27=17.17520390825148 | H27=26 | I27=UB02 | J27=B-BAT-04 | K27=39.94149871886147 | L27=57.11670262711295 | M27=64.90557320203109 | N27=180 | O27=True | P27=0.597427349875267 | Q27=22.74098767027006 | R27=39.94149871886147 | S27=57.11670262711295 | T27=64.90557320203109 | U27=R02 | V27=True
A28=S011 | B28=B | C28=S011-WAT-01,S011-MED-01 | D28=2 | E28=0.845945507122666 | F28=18.69404910504868 | G28=14.05013566363545 | H28=27 | I28=UB01 | J28=B-BAT-01 | K28=52.72841238652359 | L28=66.77854805015903 | M28=71.42246149157228 | N28=180 | O28=True | P28=0.7885136232193335 | Q28=17.22071755144147 | R28=52.72841238652359 | S28=66.77854805015903 | T28=71.42246149157228 | U28=direct | V28=True
A29=S003 | B29=B | C29=S003-FOD-01,S003-FOD-02 | D29=2 | E29=2.171939602406073 | F29=33.54929679908192 | G29=21.40753728842984 | H29=28 | I29=UB02 | J29=B-BAT-02 | K29=65.2925046036843 | L29=86.70004189211414 | M29=98.84180140276622 | N29=180 | O29=True | P29=0.4570150993984818 | Q29=26.79734157293274 | R29=65.2925046036843 | S29=86.70004189211414 | T29=98.84180140276622 | U29=R01 | V29=True
A30=S015 | B30=B | C30=S015-WAT-01 | D30=1 | E30=1.768065763888004 | F30=28.42006971823241 | G30=18.26736819244954 | H30=29 | I30=UB01 | J30=B-BAT-04 | K30=94.89764685376998 | L30=113.1650150462195 | M30=123.3177165720024 | N30=180 | O30=True | P30=0.557983559027999 | Q30=23.88047496141336 | R30=94.89764685376998 | S30=113.1650150462195 | T30=123.3177165720024 | U30=R01 | V30=True
A31=S001 | B31=B | C31=S001-HYG-01,S001-HYG-02 | D31=2 | E31=0.8736555559417358 | F31=19.30834266829118 | G31=14.37289355636781 | H31=30 | I31=UB01 | J31=B-BAT-03 | K31=75.58930418547885 | L31=89.96219774184667 | M31=94.89764685376998 | N31=180 | O31=True | P31=0.7815861110145661 | Q31=17.42084568180142 | R31=75.58930418547885 | S31=89.96219774184667 | T31=94.89764685376998 | U31=direct | V31=True
A32=S004 | B32=B | C32=S004-FOD-01 | D32=1 | E32=2.070958181876589 | F32=31.24699102865972 | G32=19.81760662544097 | H32=31 | I32=UB02 | J32=B-BAT-01 | K32=98.84180140276622 | L32=118.6594080282072 | M32=130.0887924314259 | N32=180 | O32=True | P32=0.4822604545308526 | Q32=26.06803131355314 | R32=98.84180140276622 | S32=118.6594080282072 | T32=130.0887924314259 | U32=R02 | V32=True
A33=S008 | B33=B | C33=S008-FOD-01 | D33=1 | E33=2.113150583946663 | F33=30.67916735827846 | G33=19.51002812358367 | H33=32 | I33=UB01 | J33=B-BAT-03 | K33=123.3177165720024 | L33=142.8277446955861 | M33=153.9968839302809 | N33=180 | O33=True | P33=0.4717123540133343 | Q33=26.37275421739256 | R33=123.3177165720024 | S33=142.8277446955861 | T33=153.9968839302809 | U33=R01 | V33=True
A34=S002 | B34=A | C34=S002-HYG-01 | D34=1 | E34=2.306810552860246 | F34=32.43864302215731 | G34=20.41832151107866 | H34=33 | I34=UA01 | J34=A-BAT-03 | K34=106.9628544847012 | L34=127.3811759957797 | M34=139.4014975068584 | N34=180 | O34=True | P34=0.4873754326977231 | Q34=19.440198958216 | R34=115.532657740332 | S34=135.9509792514106 | T34=147.9713007624893 | U34=R02 | V34=True
A35=S006 | B35=B | C35=S006-HYG-01 | D35=1 | E35=0.8787997917998865 | F35=19.06321480220478 | G35=13.67766295665795 | H35=34 | I35=UB02 | J35=B-BAT-02 | K35=130.0887924314259 | L35=143.7664553880839 | M35=149.1520072336307 | N35=180 | O35=True | P35=0.7803000520500284 | Q35=17.45799849633251 | R35=130.0887924314259 | S35=143.7664553880839 | T35=149.1520072336307 | U35=direct | V35=True
A36=S007 | B36=B | C36=S007-HYG-01 | D36=1 | E36=1.304041604369885 | F36=25.08578415182364 | G36=16.67022540924516 | H36=35 | I36=UB02 | J36=B-BAT-04 | K36=149.1520072336307 | L36=165.8222326428758 | M36=174.2377913854543 | N36=180 | O36=True | P36=0.6739895989075286 | Q36=20.52918936489361 | R36=149.1520072336307 | S36=165.8222326428758 | T36=174.2377913854543 | U36=R01 | V36=True
A37=S005 | B37=B | C37=S005-FOD-01 | D37=1 | E37=1.42178203198294 | F37=24.19484367003582 | G37=16.31003294612902 | H37=36 | I37=UB01 | J37=B-BAT-01 | K37=156.1568237449791 | L37=172.4668566911082 | M37=180.351667415015 | N37=240 | O37=True | P37=0.6445544920042652 | Q37=21.37953689765456 | R37=156.1568237449791 | S37=172.4668566911082 | T37=180.351667415015 | U37=R01 | V37=True
A38=S009 | B38=C | C38=S009-FOD-01 | D38=1 | E38=3.136485864490634 | F38=25.18839823504012 | G38=17.05894911752006 | H38=37 | I38=UC01 | J38=C-BAT-04 | K38=121.7547777991096 | L38=138.8137269166297 | M38=146.9431760341498 | N38=240 | O38=True | P38=0.6079392669386707 | Q38=28.04663758277022 | R38=113.3835500389229 | S38=130.4424991564429 | T38=138.571948273963 | U38=R02 | V38=True
A39=S011 | B39=A | C39=S011-FOD-01 | D39=1 | E39=0.9386225872442431 | F39=19.25913123501605 | G39=13.83267672861913 | H39=38 | I39=UA04 | J39=A-BAT-06 | K39=113.6767877448207 | L39=127.5094644734398 | M39=132.9359189798366 | N39=240 | O39=True | P39=0.7914172028346127 | Q39=12.85262727191672 | R39=122.4670808185896 | S39=136.2997575472087 | T39=141.7262120536056 | U39=direct | V39=True
A40=S015 | B40=C | C40=S015-FOD-01 | D40=1 | E40=3.616951951699551 | F40=30.50740594985326 | G40=19.51470297492664 | H40=39 | I40=UC02 | J40=C-BAT-02 | K40=136.1799113693297 | L40=155.6946143442564 | M40=166.687317319183 | N40=240 | O40=True | P40=0.5478810060375561 | Q40=30.21540811531047 | R40=117.3792985879319 | S40=136.8940015628585 | T40=147.8867045377851 | U40=R01 | V40=True
A41=S003 | B41=A | C41=S003-HYG-01 | D41=1 | E41=2.412427120788479 | F41=36.58322209961182 | G41=22.4244999386948 | H41=40 | I41=UA02 | J41=A-BAT-05 | K41=121.208905151636 | L41=143.6334050903308 | M41=157.7921272512477 | N41=240 | O41=True | P41=0.4639050842692268 | Q41=19.94872317416675 | R41=128.8174575326385 | S41=151.2419574713333 | T41=165.4006796322503 | U41=R01 | V41=True
A42=S004 | B42=A | C42=S004-HYG-01 | D42=1 | E42=2.474777359477118 | F42=35.55013088574415 | G42=21.96917655398319 | H42=41 | I42=UA03 | J42=A-BAT-01 | K42=129.5756275359775 | L42=151.5448040899607 | M42=165.1257584217217 | N42=240 | O42=True | P42=0.4500494756717516 | Q42=20.24892802711205 | R42=138.3659206097464 | S42=160.3350971637296 | T42=173.9160514954906 | U42=R02 | V42=True
A43=S008 | B43=A | C43=S008-HYG-01 | D43=1 | E43=2.535496353229009 | F43=35.18442401586858 | G43=21.76265645237874 | H43=42 | I43=UA04 | J43=A-BAT-02 | K43=137.0579694406072 | L43=158.8206258929859 | M43=172.2423934564758 | N43=240 | O43=True | P43=0.4365563659491092 | Q43=20.5412787377693 | R43=144.7655676111495 | S43=166.5282240635282 | T43=179.9499916270181 | U43=R01 | V43=True
A44=S005 | B44=A | C44=S005-HYG-01 | D44=1 | E44=1.698235657333516 | F44=27.14040634097931 | G44=17.78281428160077 | H44=43 | I44=UA01 | J44=A-BAT-04 | K44=141.0369525731113 | L44=158.8197668547121 | M44=168.1773589140906 | N44=300 | O44=True | P44=0.6226142983703299 | Q44=16.51002353530952 | R44=149.8272456468802 | S44=167.610059928481 | T44=176.9676519878595 | U44=R01 | V44=True
