====================================================================================================
FILE: 中继无人机数据.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:S12  max_row=12 max_col=19 -----
中继机型参数 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 机型名称 | 含能源组件空载总质量（kg） | 中继通信模块质量（kg） | 计划起飞总质量（kg） | 计划巡航速度（m/s） | 巡航功率（kW） | 能源组件可用能量（kWh） | 返航电量下限（%） | 工位固定准备时间（s） | 建链时间（s） | 架次周转时间（s） | 最大爬升速度（m/s） | 最大下降速度（m/s） | 爬升能耗效率 | 下降能耗效率 | 悬停功率（kW） | 通信附加功率（kW） | 最大悬停离地高度（m）
R | 中继标准测试多旋翼 | 21 | 2.5 | 23.5 | 15 | 1.15 | 3.2 | 20 | 180 | 30 | 300 | 4 | 3 | 0.72 | 0 | 1.05 | 0.05 | 300
逐架中继无人机清单 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
中继无人机编号 | 机型编号 | 初始位置 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R01 | R | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R02 | R | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
共享能源组件库存 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 共享能源组件总数（组） | 等效完全充电时间（s） |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R | 6 | 1800 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
MERGED: A5:C5, A1:S1, A10:C10

====================================================================================================
FILE: 物资需求与配送时限.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:I54  max_row=54 max_col=9 -----
服务区编号 | 物资类型 | 总需求箱数 | 首批必须送达箱数 | 单箱质量（kg） | 单箱体积（m³） | 应急优先系数 | 首批截止时间（s） | 期望送达时间（s）
S008 | 应急食品 | 1 | 0 | 8 | 0.028 | 8 |  | 10800
S008 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 6 |  | 14400
S009 | 医疗物资 | 1 | 1 | 3 | 0.012 | 16 | 10800 | 10800
S009 | 饮用水 | 1 | 1 | 14 | 0.027 | 8 | 10800 | 10800
S009 | 应急食品 | 1 | 0 | 8 | 0.028 | 6 |  | 14400
S010 | 医疗物资 | 1 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S010 | 饮用水 | 1 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S010 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S011 | 医疗物资 | 1 | 1 | 3 | 0.012 | 16 | 10800 | 10800
S011 | 饮用水 | 1 | 1 | 14 | 0.027 | 8 | 10800 | 10800
S011 | 应急食品 | 1 | 0 | 8 | 0.028 | 6 |  | 14400
S012 | 医疗物资 | 1 | 1 | 3 | 0.012 | 22 | 3600 | 7200
S012 | 饮用水 | 1 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S012 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S013 | 医疗物资 | 1 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S013 | 饮用水 | 1 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S013 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S014 | 医疗物资 | 1 | 1 | 3 | 0.012 | 22 | 3600 | 7200
S014 | 饮用水 | 1 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S014 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S015 | 医疗物资 | 1 | 1 | 3 | 0.012 | 18 | 7200 | 7200
S015 | 饮用水 | 1 | 1 | 14 | 0.027 | 8 | 10800 | 10800
S015 | 应急食品 | 1 | 0 | 8 | 0.028 | 6 |  | 14400
----- SHEET: 逐箱货箱清单  dims=A1:I81  max_row=81 max_col=9 -----
货箱编号 | 服务区编号 | 物资类型 | 单箱质量（kg） | 单箱体积（m³） | 是否首批保障 | 首批截止时间（s） | 期望送达时间（s） | 应急优先系数
S001-MED-01 | S001 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S001-MED-02 | S001 | 医疗物资 | 3 | 0.012 | 否 |  | 3600 | 24
S001-WAT-01 | S001 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S001-WAT-02 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-03 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-04 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-05 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-06 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-07 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-WAT-08 | S001 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S001-FOD-01 | S001 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S001-FOD-02 | S001 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S001-FOD-03 | S001 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S001-HYG-01 | S001 | 生活卫生用品 | 6 | 0.035 | 否 |  | 10800 | 8
S001-HYG-02 | S001 | 生活卫生用品 | 6 | 0.035 | 否 |  | 10800 | 8
S002-MED-01 | S002 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S002-WAT-01 | S002 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S002-WAT-02 | S002 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S002-WAT-03 | S002 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S002-WAT-04 | S002 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S002-FOD-01 | S002 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S002-FOD-02 | S002 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S002-HYG-01 | S002 | 生活卫生用品 | 6 | 0.035 | 否 |  | 10800 | 8
S003-MED-01 | S003 | 医疗物资 | 3 | 0.012 | 是 | 7200 | 7200 | 20
S003-WAT-01 | S003 | 饮用水 | 14 | 0.027 | 是 | 7200 | 7200 | 10
S003-WAT-02 | S003 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S003-WAT-03 | S003 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S003-WAT-04 | S003 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S003-FOD-01 | S003 | 应急食品 | 8 | 0.028 | 否 |  | 10800 | 8
S003-FOD-02 | S003 | 应急食品 | 8 | 0.028 | 否 |  | 10800 | 8
S003-HYG-01 | S003 | 生活卫生用品 | 6 | 0.035 | 否 |  | 14400 | 6
S004-MED-01 | S004 | 医疗物资 | 3 | 0.012 | 是 | 7200 | 7200 | 20
S004-WAT-01 | S004 | 饮用水 | 14 | 0.027 | 是 | 7200 | 7200 | 10
S004-WAT-02 | S004 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S004-WAT-03 | S004 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S004-FOD-01 | S004 | 应急食品 | 8 | 0.028 | 否 |  | 10800 | 8
S004-HYG-01 | S004 | 生活卫生用品 | 6 | 0.035 | 否 |  | 14400 | 6
S005-MED-01 | S005 | 医疗物资 | 3 | 0.012 | 是 | 10800 | 10800 | 16
S005-WAT-01 | S005 | 饮用水 | 14 | 0.027 | 是 | 10800 | 10800 | 8
S005-WAT-02 | S005 | 饮用水 | 14 | 0.027 | 否 |  | 10800 | 8
S005-WAT-03 | S005 | 饮用水 | 14 | 0.027 | 否 |  | 10800 | 8
S005-FOD-01 | S005 | 应急食品 | 8 | 0.028 | 否 |  | 14400 | 6
S005-HYG-01 | S005 | 生活卫生用品 | 6 | 0.035 | 否 |  | 18000 | 4
S006-MED-01 | S006 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S006-WAT-01 | S006 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S006-WAT-02 | S006 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S006-WAT-03 | S006 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S006-FOD-01 | S006 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S006-HYG-01 | S006 | 生活卫生用品 | 6 | 0.035 | 否 |  | 10800 | 8
S007-MED-01 | S007 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S007-WAT-01 | S007 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S007-WAT-02 | S007 | 饮用水 | 14 | 0.027 | 否 |  | 3600 | 12
S007-FOD-01 | S007 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S007-HYG-01 | S007 | 生活卫生用品 | 6 | 0.035 | 否 |  | 10800 | 8
S008-MED-01 | S008 | 医疗物资 | 3 | 0.012 | 是 | 7200 | 7200 | 20
S008-WAT-01 | S008 | 饮用水 | 14 | 0.027 | 是 | 7200 | 7200 | 10
S008-WAT-02 | S008 | 饮用水 | 14 | 0.027 | 否 |  | 7200 | 10
S008-FOD-01 | S008 | 应急食品 | 8 | 0.028 | 否 |  | 10800 | 8
S008-HYG-01 | S008 | 生活卫生用品 | 6 | 0.035 | 否 |  | 14400 | 6
S009-MED-01 | S009 | 医疗物资 | 3 | 0.012 | 是 | 10800 | 10800 | 16
S009-WAT-01 | S009 | 饮用水 | 14 | 0.027 | 是 | 10800 | 10800 | 8
S009-FOD-01 | S009 | 应急食品 | 8 | 0.028 | 否 |  | 14400 | 6
S010-MED-01 | S010 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S010-WAT-01 | S010 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S010-FOD-01 | S010 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S011-MED-01 | S011 | 医疗物资 | 3 | 0.012 | 是 | 10800 | 10800 | 16
S011-WAT-01 | S011 | 饮用水 | 14 | 0.027 | 是 | 10800 | 10800 | 8
S011-FOD-01 | S011 | 应急食品 | 8 | 0.028 | 否 |  | 14400 | 6
S012-MED-01 | S012 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 7200 | 22
S012-WAT-01 | S012 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S012-FOD-01 | S012 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S013-MED-01 | S013 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 3600 | 24
S013-WAT-01 | S013 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S013-FOD-01 | S013 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S014-MED-01 | S014 | 医疗物资 | 3 | 0.012 | 是 | 3600 | 7200 | 22
S014-WAT-01 | S014 | 饮用水 | 14 | 0.027 | 是 | 3600 | 3600 | 12
S014-FOD-01 | S014 | 应急食品 | 8 | 0.028 | 否 |  | 7200 | 10
S015-MED-01 | S015 | 医疗物资 | 3 | 0.012 | 是 | 7200 | 7200 | 18
S015-WAT-01 | S015 | 饮用水 | 14 | 0.027 | 是 | 10800 | 10800 | 8
S015-FOD-01 | S015 | 应急食品 | 8 | 0.028 | 否 |  | 14400 | 6

====================================================================================================
FILE: 调度中心与服务区.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:F21  max_row=21 max_col=6 -----
调度中心 |  |  |  |  | 
调度中心编号 | 调度中心名称 | 经度（°） | 纬度（°） | 海拔（m） | 
O01 | 凤丹村无人机调度中心 | 109.2308517 | 23.0085095 | 127.7 | 
服务区 |  |  |  |  | 
服务区编号 | 服务区名称 | 经度（°） | 纬度（°） | 海拔（m） | 本次需保障人口（人）
S001 | 平旺、那龙、镇龙乡 | 109.2432319 | 23.0335927 | 154 | 2100
S002 | 上良 | 109.2585519 | 23.0703271 | 189.5 | 330
S003 | 六造、那旭、都长 | 109.1688578 | 23.0402714 | 308.5 | 275
S004 | 大站 | 109.2381714 | 23.0778414 | 198.3 | 188
S005 | 上良、古律、那麓 | 109.2283003 | 23.0561338 | 165 | 126
S006 | 六昌、木路 | 109.1997836 | 23.007714 | 284.8 | 121
S007 | 佛子、那桑、银坑 | 109.1928191 | 23.0294186 | 318.5 | 76
S008 | 古麻、大站 | 109.2127472 | 23.0795113 | 240.9 | 55
S009 | 那龙 | 109.2541424 | 23.0552989 | 200 | 45
S010 | 镇龙乡 | 109.2760168 | 23.0194009 | 321.6 | 31
S011 | 那从 | 109.2203356 | 23.0319231 | 182.1 | 30
S012 | 镇龙乡 | 109.2831357 | 23.054464 | 249.8 | 16
S013 | 镇龙乡 | 109.2713839 | 23.0310882 | 321.7 | 14
S014 | 镇龙乡 | 109.2835966 | 23.0052097 | 321 | 12
S015 | 六造、那托、那旭 | 109.1923786 | 23.0494548 | 444.5 | 3
MERGED: A1:E1, A5:F5

====================================================================================================
FILE: 运输无人机数据.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:R22  max_row=22 max_col=18 -----
三类机型参数 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 机型名称 | 含电池空载总质量（kg） | 最大载货质量（kg） | 可用装载体积（m³） | 计划巡航速度（m/s） | 空载标准航程（m） | 满载标准航程（m） | 电池可用能量（kWh） | 返航电量下限（%） | 工位固定准备时间（s） | 每箱装载时间（s） | 接收点基础交接时间（s） | 每箱增加交接时间（s） | 最大爬升速度（m/s） | 最大下降速度（m/s） | 爬升能耗效率 | 下降能耗效率
A | 中轻载标准测试多旋翼 | 70 | 25 | 0.06 | 12 | 25000 | 20000 | 4.5 | 20 | 300 | 30 | 150 | 30 | 3 | 2.5 | 0.72 | 0
B | 中载标准测试多旋翼 | 65 | 30 | 0.073 | 15 | 28000 | 16000 | 4 | 20 | 300 | 30 | 150 | 30 | 3 | 2.5 | 0.72 | 0
C | 重载标准测试多旋翼 | 69.9 | 80 | 0.25 | 15 | 26000 | 12000 | 8 | 20 | 300 | 30 | 180 | 36 | 2.5 | 2 | 0.72 | 0
逐架无人机清单 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
无人机编号 | 机型编号 | 初始位置 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U01 | A | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U02 | A | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U03 | A | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U04 | A | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U05 | B | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U06 | B | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U07 | C | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
U08 | C | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
共享电池库存 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 共享电池组总数（组） | 等效完全充电时间（s） |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
A | 6 | 1800 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B | 4 | 2400 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
C | 4 | 3000 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
MERGED: A7:C7, A1:R1, A18:C18

====================================================================================================
FILE: 通信链路参数.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:E17  max_row=17 max_col=5 -----
通信系统与端点参数 |  |  |  | 
参数类别 | 参数名称 |  | 符号 | 参数值
传播参数 | 载波频率（MHz） |  | f | 2400
传播参数 | 系统损耗（dB） |  | Lsys | 3
传播参数 | 地形遮挡附加损耗（dB） |  | Lobs | 10
接收参数 | 接收灵敏度（dBm） |  | Psens | -98
接收参数 | 衰落裕量（dB） |  | M | 8
运输无人机 | 发射功率（dBm） |  | Pt | 20
运输无人机 | 天线增益（dBi） |  | G | 3
中继接入端 | 发射功率（dBm） |  | Pt | 20
中继接入端 | 天线增益（dBi） |  | G | 6
中继回传端 | 发射功率（dBm） |  | Pt | 19
中继回传端 | 天线增益（dBi） |  | G | 8
固定网关 G01 | 发射功率（dBm） |  | Pt | 27
固定网关 G01 | 天线增益（dBi） |  | G | 12
固定网关 G01 | 天线离地高度（m） |  | hG | 20
MERGED: B13:C13, B6:C6, B16:C16, B2:C2, B15:C15, B7:C7, B11:C11, B3:C3, B5:C5, B10:C10, A1:E1, B14:C14, B9:C9, B8:C8, B4:C4, B12:C12
